Gender,Age,Field,Year,Residence,CGPA,StudyHours,AssignmentsPerMonth,SelfRating,UsesAI,PrimaryTool,Frequency,AIHours,TimeBefore,TimeAfter,ProductivityImprove,QualityImprove,ConceptHelp,GradeImpact,PercentImprove,Dependency,ThinkingReduction,RegulationSupport,Satisfaction
3,18,1,3,1,8.28,19,7,2,1,1,1,7.9,4.1,2.9,3,5,3,4,12,5,3,5,5
2,20,2,2,2,8.65,32,8,3,1,4,1,5.6,5,3.5,5,3,4,5,6,4,2,2,3
3,19,3,1,1,7.84,23,5,2,0,0,0,0,5.1,5.1,2,3,2,3,0,2,3,3,1
1,21,4,3,3,8.14,18,9,5,1,2,3,10.4,6.3,4.8,4,4,3,5,6,4,3,4,3
1,19,6,3,3,8.08,33,7,5,1,5,4,5.6,7,5.7,3,3,3,3,20,3,4,2,5
3,23,1,3,3,8,32,8,3,1,3,4,3.6,4,1.6,3,5,3,5,13,4,2,4,5
2,18,1,3,2,8.55,18,8,4,1,2,1,2.9,5.5,4.4,4,5,3,3,9,5,5,4,4
2,22,4,1,1,7.51,14,8,3,1,3,1,7.9,4.7,3.3,3,3,3,5,7,4,3,5,3
1,21,4,2,1,7.81,18,8,4,1,4,3,6.2,5.4,2.9,5,4,3,3,8,3,5,3,3
1,21,5,1,1,8.8,24,4,5,1,5,1,11.7,6.8,4.1,4,3,4,4,10,3,4,5,3
3,23,5,4,1,8.43,28,4,2,1,2,1,7.8,5.6,3.1,4,5,5,3,6,2,3,5,3
1,22,2,1,3,7.03,22,4,2,1,5,3,11.3,4.6,2.2,3,5,5,4,12,5,2,3,4
3,20,2,3,1,7.56,31,9,4,0,0,0,0,5.1,5.1,1,2,3,3,0,2,2,3,3
2,18,1,2,2,7.44,13,4,4,1,2,3,4,5.9,4.4,3,3,5,4,20,4,3,5,4
3,23,4,1,1,7.69,33,4,5,1,2,1,10.3,5.7,4.4,4,3,4,3,9,3,3,3,3
1,19,4,1,1,8.56,19,5,4,1,3,4,10,6.6,4,5,3,4,3,13,5,3,3,3
1,23,2,4,2,8.06,13,4,4,1,1,3,5.5,5.5,3.1,3,4,3,5,15,4,5,2,5
2,22,2,3,1,7.7,33,7,3,1,1,2,5.6,4.2,1.9,5,3,5,4,15,4,3,5,4
3,21,6,2,3,8.16,35,5,4,1,4,1,5,4.6,2,4,5,3,4,15,5,2,3,5
3,20,2,2,1,7.09,32,9,2,1,2,4,8.1,6.3,4.4,4,4,4,5,11,3,5,3,3
1,23,5,4,1,8.86,29,7,5,1,1,4,3.3,5.4,3.3,4,5,5,5,15,5,5,4,5
1,23,3,4,3,7.79,14,7,5,1,4,1,9.1,4.7,3,3,4,5,3,7,3,2,3,3
2,21,5,1,3,7.58,19,6,4,1,1,3,5,5.2,2.4,5,5,5,4,18,5,5,3,3
2,19,5,1,2,8.62,24,6,4,1,1,1,8.4,4.4,2.5,4,3,4,4,6,4,2,5,4
1,23,5,1,2,7.76,30,5,4,1,1,1,9.5,6.8,5.4,3,3,4,4,5,2,3,2,5
1,20,1,1,2,7.75,23,8,4,1,4,4,11.4,4.6,2.4,4,5,5,3,12,2,2,5,3
2,18,4,3,3,8.05,31,8,5,0,0,0,0,5.4,5.4,1,2,1,3,0,2,5,4,3
2,19,1,3,2,7.83,29,4,3,1,4,4,5.4,5.5,3.8,4,4,4,4,20,4,5,5,5
3,19,6,4,3,7.98,25,9,5,1,4,1,2.9,4.7,2.3,4,4,5,4,14,4,4,4,5
2,19,1,2,2,8.18,21,4,2,1,5,2,3.9,6.2,4.6,3,4,3,5,14,3,2,4,4
3,19,6,4,1,8.38,13,6,5,0,0,0,0,5.7,5.7,2,2,2,3,0,1,2,2,2
2,21,1,1,1,8.92,26,6,4,1,5,3,2.9,4.7,2.6,5,3,5,4,18,5,2,2,4
1,23,2,3,3,7.3,14,9,3,1,2,2,7.5,4.5,2.7,3,4,5,4,20,5,5,2,4
3,19,6,2,2,7.44,26,4,4,0,0,0,0,4.2,4.2,1,2,3,3,0,2,5,4,3
3,22,4,4,1,8.46,27,8,3,1,4,3,8,4.1,2.6,5,4,5,5,5,3,5,5,3
1,21,3,4,2,7.32,20,6,2,1,1,2,5.3,6.1,4.5,5,3,4,5,17,4,5,5,3
1,19,5,3,3,8.26,21,7,5,0,0,0,0,5.9,5.9,1,1,2,3,0,1,2,2,3
3,22,2,2,2,7.67,28,9,5,1,5,4,2.9,7,4.2,5,3,4,5,19,4,3,5,5
3,19,4,2,3,7.95,16,7,5,1,2,1,4.8,6.4,4.6,4,5,4,5,13,5,5,4,5
1,23,2,4,1,8.08,24,9,3,0,0,0,0,5.2,5.2,2,3,2,3,0,2,5,2,3
1,22,5,3,1,8.44,25,9,2,0,0,0,0,5.3,5.3,3,2,1,3,0,1,5,4,3
2,22,6,4,3,7.37,19,9,2,1,3,4,11.5,5.9,3.1,3,5,3,5,20,4,5,3,3
3,20,1,1,2,8.09,30,9,3,0,0,0,0,4.9,4.9,2,2,1,3,0,2,3,2,1
3,21,5,2,2,8.3,33,4,5,0,0,0,0,4.4,4.4,2,3,2,3,0,2,4,3,2
1,21,3,3,3,7.26,15,5,4,0,0,0,0,6.1,6.1,2,2,1,3,0,2,4,4,2
1,23,4,3,1,8.57,33,9,3,1,1,4,10.3,6.7,4.1,4,3,5,4,12,4,2,2,3
2,21,1,3,3,8.54,35,6,2,1,3,3,9.5,4.5,3.2,4,3,4,4,16,4,3,3,4
3,23,6,4,3,8.41,27,4,4,1,4,1,4.6,4.4,2.7,5,4,3,4,13,3,3,2,5
3,21,6,3,3,8.36,33,9,3,1,2,1,11.5,4.9,2.9,5,3,4,4,8,4,5,2,4
2,22,4,3,1,9.01,18,4,2,1,2,4,6.4,4.7,3,5,4,3,4,16,4,3,2,4
1,20,2,2,3,8.35,29,6,2,1,5,2,7.9,6.4,4.9,5,3,4,5,9,3,3,2,3
2,19,5,3,1,8.61,28,5,4,1,1,2,9.4,5.6,3.1,4,5,5,4,20,5,5,2,3
1,21,4,4,3,7.99,24,8,5,1,4,1,11,5,3.7,5,5,5,4,9,4,2,2,5
3,23,5,2,2,7.25,33,7,2,1,2,4,5.4,5.4,3.6,4,5,4,4,8,3,5,2,4
3,23,3,2,3,7.97,23,4,5,1,5,3,8.7,5.2,2.5,5,3,4,5,18,4,3,2,5
2,22,3,1,2,8.03,17,5,3,1,4,1,8.1,6,3.6,5,4,4,3,5,2,2,2,4
3,22,2,4,2,8.26,20,7,5,1,2,3,5.1,5,2.1,3,3,5,5,7,2,5,4,3
1,22,1,3,2,7.09,22,4,3,1,5,4,7.3,4.9,3.5,4,3,3,3,6,4,3,5,4
3,23,2,3,1,8.72,24,4,5,1,1,4,2.2,6.8,4.1,5,5,4,4,18,2,4,2,4
2,18,2,4,3,8.56,23,6,3,1,1,4,10.7,6.2,4.8,5,3,5,3,10,3,3,2,5
1,20,2,2,3,7.03,32,6,5,1,1,2,11.5,5.9,4,5,5,5,4,19,4,4,4,5
3,18,3,1,2,8.16,26,8,5,1,1,1,5.7,4.9,2.6,5,4,4,4,7,2,3,2,5
2,18,3,1,3,7.53,32,9,5,1,1,2,9.1,7,5,4,4,4,4,10,2,4,4,4
3,23,5,2,2,8.58,16,9,2,1,2,3,5.1,6,3.7,3,4,5,4,9,4,5,4,4
1,20,3,2,1,7.97,31,5,3,1,4,2,4.3,4.4,3.2,5,5,5,4,8,4,3,5,3
1,21,3,2,2,8.51,26,6,5,1,4,2,7.3,4.9,2.3,3,4,5,5,20,5,3,3,5
3,19,3,1,3,8.77,14,5,2,1,3,1,9.1,5.5,4.3,4,4,5,5,7,5,5,2,3
2,22,3,2,2,6.58,16,5,5,0,0,0,0,5.1,5.1,1,2,1,3,0,2,3,5,3
2,22,1,1,1,8.09,27,8,3,1,2,4,3.1,4.9,3.3,5,5,4,4,6,2,3,4,3
2,18,5,3,1,7.12,20,9,4,1,2,1,7.2,5.1,2.2,4,3,5,4,5,4,3,2,4
3,23,3,2,1,6.89,21,5,2,1,3,2,10.3,6.1,3.1,3,3,5,4,20,2,4,4,4
3,21,5,4,2,8.9,24,6,5,1,2,3,5.6,6.3,3.6,4,4,4,4,15,5,4,4,5
1,23,4,1,2,7.22,23,7,4,1,2,3,5.2,4.2,1.9,5,4,3,4,14,5,5,4,5
3,18,1,4,2,8.25,30,4,4,1,2,1,3.4,5.8,3.2,3,5,4,3,6,5,4,5,4
1,22,2,3,2,7.73,18,8,5,1,3,2,11.6,4.1,2.7,3,4,4,5,17,5,3,2,5
1,18,4,2,3,7.64,23,8,3,1,1,3,8.7,6.1,4,3,5,5,5,14,3,3,5,5
1,20,5,3,2,7.46,34,9,5,0,0,0,0,5.7,5.7,3,1,1,3,0,2,5,2,2
1,20,6,1,2,7.39,28,5,3,1,5,3,3.3,6.5,4.4,3,4,5,5,10,2,4,4,3
1,20,2,3,1,7.11,12,4,4,1,5,1,7,4.5,1.6,5,5,5,3,9,2,3,5,4
3,23,1,4,3,7.45,26,5,4,1,3,4,4.4,6.4,4.6,3,3,4,3,19,5,4,5,4
1,20,5,1,2,7.96,18,5,5,1,1,3,6.5,4.4,3.3,4,3,3,5,17,4,4,5,4
1,18,4,4,1,8.41,35,6,5,1,3,1,2.5,5.5,2.7,3,3,4,4,20,4,2,3,3
2,22,3,1,2,8.1,16,5,2,1,5,3,10.3,5.9,3.7,4,4,4,5,9,4,2,2,5
1,23,3,4,3,7.78,27,4,5,1,5,2,5.3,5.8,4.5,5,5,5,4,14,4,4,2,4
3,21,3,2,3,7.79,18,4,5,1,4,2,7.2,6.2,3.7,5,3,3,3,17,2,3,5,5
3,22,4,1,3,7.2,31,7,4,1,2,3,12,5.4,3.6,5,4,5,4,10,4,3,4,4
2,23,2,4,2,8.38,23,7,3,1,5,3,4.9,5.7,3.6,3,4,3,5,17,2,3,4,4
3,23,3,2,1,6.99,33,5,3,1,5,2,4.4,6,3.9,4,4,5,3,12,2,5,5,4
2,23,2,3,2,9.05,27,5,4,1,1,1,8.5,4.7,2.2,3,4,3,5,6,5,2,2,3
2,22,5,1,2,8.15,32,6,4,1,5,4,10.9,4.4,2.4,3,4,3,3,13,5,4,3,5
1,22,6,4,2,7.66,20,6,2,1,1,4,8.7,4.6,3.3,3,4,4,5,15,5,4,4,3
3,19,1,1,2,7.8,35,8,5,1,4,3,8.9,5.9,3,3,3,4,4,16,5,3,3,3
3,22,1,4,3,8.13,34,8,5,1,1,1,2.6,5.6,3.6,5,4,3,3,9,3,2,5,5
1,22,4,4,3,8.6,29,4,5,1,4,3,9.2,5.2,2.6,3,4,4,4,11,2,2,4,5
2,19,2,4,2,6.74,32,6,5,0,0,0,0,5.1,5.1,2,2,1,3,0,1,3,3,3
1,18,3,4,3,7.21,31,4,2,1,4,4,10.2,4.7,3,5,3,3,3,13,5,5,2,5
1,23,1,4,2,7.29,33,8,2,1,2,1,3.4,7,5.5,5,4,3,4,15,3,3,5,4
3,21,1,3,3,8.3,26,4,3,1,5,3,9,5.2,3.6,4,3,3,5,10,3,5,3,4
2,19,3,1,2,7.71,33,8,2,0,0,0,0,4.3,4.3,3,1,1,3,0,2,3,3,2
2,19,3,3,1,8.15,26,8,4,1,2,1,9.5,6.3,3.5,3,5,4,4,11,5,5,5,4
1,23,4,3,1,7.55,16,5,3,1,4,1,7.6,4.7,3.4,5,5,5,4,13,4,5,4,4
2,21,6,4,2,7.51,16,9,2,1,3,2,3.4,5.6,4.2,3,5,3,4,6,5,3,5,3
2,18,5,4,3,7.1,15,8,4,1,1,4,2.1,5.6,4.1,5,5,4,3,14,2,4,4,3
2,18,3,4,2,8.15,32,4,5,1,2,3,8.8,6.5,4.2,4,4,5,3,6,2,4,2,4
3,18,2,2,3,6.53,17,6,3,0,0,0,0,5.4,5.4,1,1,3,3,0,1,3,5,2
1,20,2,2,3,6.66,34,9,4,0,0,0,0,5.2,5.2,3,2,2,3,0,1,2,2,3
2,19,1,3,3,6.96,26,7,5,0,0,0,0,6.9,6.9,2,2,1,3,0,2,5,3,3
3,22,6,4,1,7.92,16,7,3,0,0,0,0,4.9,4.9,1,3,1,3,0,2,5,4,1
2,18,1,1,2,7.47,24,4,2,1,3,1,3.3,4.6,2.7,3,4,5,3,18,4,3,3,3
3,21,2,2,2,7.14,31,8,4,1,4,2,2.6,5.3,3.5,4,4,3,5,20,5,2,5,5
2,22,4,3,2,7.49,30,5,5,1,5,2,5,5.8,3.4,4,4,4,4,20,5,4,2,5
3,19,5,2,3,6.64,21,9,5,0,0,0,0,4.1,4.1,3,2,3,3,0,2,5,3,1
3,20,2,3,3,8.35,34,8,2,1,4,4,2.7,7,5,5,4,5,4,17,4,3,4,3
1,23,5,1,3,6.94,15,6,3,0,0,0,0,6,6,2,2,2,3,0,1,5,4,1
2,21,6,2,2,7.19,23,6,3,0,0,0,0,5.4,5.4,2,2,1,3,0,1,5,4,1
2,18,4,4,2,7.78,22,8,5,1,1,1,2.2,5,3.8,5,3,5,5,10,3,3,3,3
3,23,4,4,1,7.15,23,6,5,1,2,4,7.9,5.2,2.8,5,3,5,4,11,3,4,5,3
3,21,5,1,2,8.35,17,6,5,1,4,2,10.1,6.1,4.5,4,3,3,4,7,2,3,5,4
2,19,4,2,3,8.04,25,9,5,1,3,2,3.9,6.5,4.3,4,3,3,5,16,5,5,3,4
1,22,1,2,2,8.44,29,4,3,1,2,3,3.7,5.4,2.9,3,5,3,4,20,4,5,2,4
3,23,2,3,1,7.08,17,8,3,1,3,1,6.4,7,4.4,5,5,5,4,12,5,2,4,4
3,20,5,2,2,8.34,16,7,4,0,0,0,0,4.9,4.9,3,2,3,3,0,1,3,3,3
1,19,6,3,1,7.25,32,7,2,0,0,0,0,6,6,2,1,3,3,0,2,2,5,3
3,23,3,3,2,7.89,32,9,2,0,0,0,0,5,5,1,3,1,3,0,2,5,3,3
2,19,4,3,2,6.59,33,4,5,0,0,0,0,5,5,3,1,3,3,0,2,2,2,2
1,21,4,1,2,7.66,24,9,3,1,2,3,3.6,6.8,5.3,4,5,5,4,16,2,5,2,3
3,18,1,2,2,7.28,19,7,2,1,5,2,7.2,5.3,4.3,4,5,3,5,15,2,4,4,4
2,19,4,2,3,7.94,26,6,3,0,0,0,0,4.4,4.4,3,3,1,3,0,1,5,5,3
1,18,1,2,1,8.73,34,4,4,1,4,3,11.6,4.9,3.6,3,5,5,4,13,4,3,3,5
3,21,3,1,1,8.45,23,8,2,1,1,2,7,5.8,3.7,4,3,4,5,5,5,2,2,5
1,20,2,1,1,7.3,25,9,3,0,0,0,0,5.2,5.2,2,3,3,3,0,2,4,2,3
2,18,5,2,1,8.55,21,9,2,1,4,1,5.1,5.3,2.4,3,4,3,3,12,2,2,3,4
3,18,2,4,2,8.96,20,9,5,1,3,2,5.7,6.2,3.5,3,4,4,5,8,2,5,4,4
1,21,5,2,2,8.67,13,8,5,1,1,1,4.3,5.5,4.4,4,4,4,4,5,3,3,4,3
1,21,6,3,2,8.46,19,8,5,0,0,0,0,5.7,5.7,1,3,3,3,0,1,2,5,1
2,20,3,1,3,8.57,16,4,4,1,3,2,4.9,6.4,3.9,5,4,3,4,12,3,2,4,5
1,23,4,3,1,6.92,26,9,3,1,2,4,6.9,4.2,1.2,3,5,4,3,13,4,5,2,5
3,22,1,4,3,7.04,22,7,2,0,0,0,0,4.7,4.7,2,2,2,3,0,2,3,3,3
3,18,2,1,1,8.02,34,9,4,1,3,4,3.2,5.1,2.6,4,3,3,4,19,4,3,2,3
3,19,3,4,3,7.14,16,4,3,1,3,3,10.2,4.5,1.6,5,3,3,4,19,2,3,3,4
2,20,6,1,3,7.93,17,8,5,1,1,1,12,4.6,2.3,4,3,3,3,9,2,2,5,4
3,21,2,3,1,7.5,32,6,5,0,0,0,0,4.8,4.8,2,1,1,3,0,1,2,2,3
2,21,2,4,1,7.48,30,8,2,1,5,2,8.3,6.4,3.8,4,4,5,5,17,4,4,3,4
1,20,1,4,3,7.35,23,5,4,1,5,2,11.7,4.3,2,5,3,3,4,13,5,2,4,5
3,22,2,2,2,7.45,22,9,4,1,2,4,2.4,4.2,2,3,4,5,4,5,3,2,2,3
1,22,6,2,1,7.17,30,4,4,0,0,0,0,6.6,6.6,1,2,3,3,0,2,3,3,3
3,21,6,4,3,7.98,34,8,2,1,5,3,4.2,5.8,4.4,4,3,3,5,14,2,3,4,5
3,19,6,1,2,7.47,12,6,4,1,1,2,5.5,5,2.7,5,5,5,5,7,5,4,2,4
3,18,1,4,2,8.32,26,4,2,1,2,4,6.9,5.1,3,5,5,5,5,8,3,4,4,3
1,18,3,2,2,7.85,13,4,5,1,1,1,5.4,7,4.2,5,3,5,4,5,3,4,4,4
2,19,1,1,2,8.54,14,7,5,1,4,2,2.5,4,2.8,3,3,3,3,20,4,5,5,5
3,20,1,4,1,7.66,14,9,3,1,4,3,3.9,4.1,2.2,4,5,3,4,13,2,2,5,3
3,21,5,4,3,6.85,15,7,3,0,0,0,0,5.4,5.4,1,2,3,3,0,1,3,3,1
1,18,4,1,3,8.21,12,9,5,1,2,3,5.2,6.2,3.6,4,5,4,4,7,5,2,5,4
1,19,5,1,1,7.82,17,6,5,1,1,3,10.7,6.6,3.8,4,5,5,4,13,2,2,5,4
2,23,2,1,3,8,21,9,4,1,3,3,2.2,6.5,4.9,5,5,3,5,13,3,5,2,3
1,21,2,4,3,8.55,17,5,2,1,5,3,10.2,5.5,4.2,4,3,5,5,14,2,3,2,5
2,18,3,2,2,8.51,23,5,2,1,4,4,8.4,4.4,3.3,4,3,4,4,16,4,4,2,5
2,18,2,2,1,8.39,19,6,4,1,2,3,8.5,5.5,2.8,3,5,3,4,5,2,5,5,5
2,21,3,2,2,7.51,27,4,4,1,5,4,7.8,4,1,5,5,4,4,16,2,4,4,4
3,23,6,3,1,7.88,20,7,3,1,2,1,10.1,6.4,4.2,5,3,5,4,15,4,4,3,4
3,22,6,4,3,8.12,33,6,3,1,3,2,10.4,6.6,5.2,5,4,5,4,8,3,4,5,5
2,20,3,3,2,7.5,27,5,5,0,0,0,0,5.4,5.4,3,3,3,3,0,1,4,5,3
1,19,2,2,2,7.63,12,7,3,1,5,4,3.4,6.6,5.2,5,3,4,4,7,2,3,5,5
1,19,5,4,3,7.55,32,9,4,1,4,4,5.8,4.1,2.7,4,5,3,5,16,2,4,3,3
1,21,5,3,1,9.06,18,5,5,1,1,3,11.5,5.4,3.4,5,3,4,4,15,4,2,3,4
1,23,2,2,3,8.02,33,4,2,1,5,2,3.2,6.1,3.5,4,5,5,5,17,2,5,5,3
2,18,5,3,2,8.52,21,4,3,1,2,1,5,6,3.7,5,3,4,4,13,2,4,3,3
2,23,4,3,1,7.21,14,8,4,1,4,2,8.9,5.4,3.9,3,5,5,4,5,3,3,5,4
2,20,4,1,1,6.69,35,4,2,0,0,0,0,6.6,6.6,2,2,3,3,0,2,2,3,2
3,23,2,3,2,7.3,17,4,5,0,0,0,0,6.9,6.9,2,3,1,3,0,2,4,5,2
3,21,4,2,1,7.14,27,7,2,1,1,2,3,6.7,4.7,4,4,5,3,19,3,2,4,3
3,20,1,2,3,7,33,9,4,0,0,0,0,5.6,5.6,3,3,3,3,0,2,5,3,1
3,22,1,1,3,7.16,22,5,4,0,0,0,0,5.5,5.5,2,2,1,3,0,2,2,3,1
3,23,4,4,1,6.75,29,8,4,1,4,4,2.9,5.5,3.9,3,3,4,5,20,2,3,5,4
2,20,1,2,2,7.5,29,8,3,1,5,4,9.2,5.1,3.2,3,3,4,5,8,4,5,3,4
3,23,6,4,1,8.5,26,7,3,1,2,2,3.2,6.6,5.2,3,4,3,5,11,2,5,2,5
3,23,1,4,3,8.91,25,8,4,1,5,2,8.9,4.5,1.9,5,5,4,4,8,5,5,4,5
2,21,2,2,2,8.99,33,5,3,1,5,3,10.4,5.6,4,5,5,4,4,11,4,4,2,5
2,22,4,4,3,9.01,20,5,3,1,5,3,10.8,5.3,4.3,3,3,5,3,8,3,2,4,3
1,22,1,3,2,6.86,29,4,5,1,5,2,9.4,5.7,4.2,3,4,4,4,14,4,3,4,4
3,22,6,2,3,6.74,35,8,2,0,0,0,0,4.9,4.9,1,3,1,3,0,1,5,4,1
3,20,2,2,3,6.6,22,8,4,0,0,0,0,4,4,2,3,1,3,0,1,5,4,1
1,23,3,2,1,8.26,18,8,2,1,5,2,6.2,5.6,4.4,5,4,4,5,12,4,2,4,4
2,19,6,2,1,7.62,27,4,4,1,3,4,11.2,6.8,5,5,4,5,3,14,5,2,2,5
1,22,5,1,3,7.4,26,9,2,1,2,4,10.4,4.6,1.9,3,5,5,4,18,2,3,4,3
3,18,5,2,2,7.67,34,4,4,1,4,4,6.3,4.1,1.8,5,3,5,4,5,2,4,2,5
2,21,4,4,3,8.52,12,8,2,1,2,2,3.4,5.2,2.6,3,4,5,5,14,4,2,5,5
3,22,1,3,1,8.83,33,8,5,1,3,2,6.1,5.9,3.9,5,4,3,3,10,3,2,4,3
3,18,3,1,1,7.6,31,9,4,1,4,3,5.6,6,4.5,3,4,4,4,14,4,4,5,4
1,18,3,2,1,8.33,17,9,3,1,4,3,10.4,4.4,1.9,4,4,4,4,20,2,3,4,5
3,23,1,1,1,7.02,13,8,5,0,0,0,0,5.9,5.9,3,3,2,3,0,1,3,4,3
2,19,5,3,1,7.85,35,9,3,1,5,1,6,5.5,3.2,3,4,3,5,10,3,5,3,3
1,20,3,2,1,8.15,35,6,5,1,5,3,5.9,6.8,4,4,3,5,5,6,4,5,4,5
3,23,1,3,2,7.5,31,4,3,0,0,0,0,4.7,4.7,2,2,2,3,0,2,5,3,2
1,18,5,3,1,8.2,27,5,5,1,2,3,8,6.5,4.2,5,3,4,5,18,5,2,3,5
1,19,5,2,1,8.1,14,5,5,1,1,2,2.6,4.8,3.4,5,5,3,4,17,4,3,3,5
2,22,2,2,3,8.48,28,8,2,1,3,2,9.2,5,3.1,4,3,3,4,7,3,3,5,3
3,22,1,1,1,7.8,27,7,2,1,2,1,11,6.3,4,3,5,5,4,18,3,5,3,4
2,21,2,1,2,7.57,34,6,5,1,5,4,4.6,4,1.5,3,5,3,4,5,3,4,4,4
3,21,5,3,3,8.6,34,7,2,1,4,2,6.1,6.4,4.4,4,4,4,4,16,4,3,5,5
3,19,1,2,3,7.74,20,5,5,1,3,1,3.6,6.9,5.9,4,5,4,5,7,2,5,4,3
3,22,1,2,3,8.23,31,5,2,1,1,2,10.5,6.8,4.8,5,5,5,3,11,3,3,2,5
2,21,3,4,2,8.86,19,8,5,1,5,1,9.4,4.2,3,5,5,4,5,14,4,2,4,4
1,21,5,1,3,7.91,26,9,2,1,3,3,11.5,6.4,3.5,4,5,4,4,13,4,5,2,3
2,18,4,2,3,8.8,14,8,4,1,3,4,11.6,5.5,4.5,3,4,5,4,13,4,3,4,5
1,23,6,2,2,7.69,33,9,2,1,2,2,10.7,4.6,3.2,4,3,3,5,12,2,5,4,3
3,20,4,3,2,7.67,33,5,5,1,5,3,6,6.3,5,5,3,5,4,18,5,4,2,4
1,23,2,4,3,7.35,23,7,3,1,3,3,3.9,4.8,3.3,4,4,3,4,15,4,3,2,4
3,20,2,4,2,8.11,24,4,4,1,2,4,10.1,4.5,2.5,4,4,5,5,15,2,5,2,5
2,23,3,3,2,8.29,23,6,5,1,5,3,5.4,5.2,3.5,5,5,5,4,11,4,2,5,3
3,20,4,2,1,8.11,34,6,5,1,3,4,8.3,5.7,3,4,3,4,3,7,4,4,5,4
2,19,2,1,1,7.34,20,8,5,1,3,1,4.1,5.2,4,3,4,5,4,20,2,4,3,3
1,23,3,4,3,8.08,16,9,5,1,5,2,2.3,6,3.3,4,5,4,5,15,5,5,4,5
2,21,5,2,1,6.94,27,6,4,1,3,4,4.6,4.9,3.9,4,5,3,4,9,5,3,2,5
3,20,2,4,3,8.59,21,9,5,1,2,2,9.1,5.9,3.2,4,5,3,4,12,4,3,2,5
1,19,3,1,3,8.49,20,5,3,1,4,3,9,5.5,3.9,5,3,3,3,9,4,2,3,3
1,21,2,3,2,8.74,18,6,2,1,4,3,6.6,6.4,4.7,4,3,5,3,9,3,3,5,4
2,19,6,1,1,8.08,20,7,2,1,1,2,6.7,6,4.4,5,3,5,3,15,2,3,2,5
1,23,4,3,1,8.24,27,4,2,1,3,1,6,4.7,1.8,3,4,3,4,20,3,2,4,3
3,19,6,1,1,8.04,29,6,3,1,3,3,10.1,5.3,3.9,3,4,3,4,17,5,4,4,4
3,21,3,2,1,7.31,22,9,5,1,4,3,10.2,5.6,3.7,3,5,4,5,17,3,3,5,5
3,19,5,3,2,8.26,15,4,5,1,3,1,3,6,4.9,3,3,3,3,9,3,4,2,4
2,19,5,1,1,7.99,23,8,5,0,0,0,0,4.6,4.6,2,1,2,3,0,1,4,2,3
3,20,5,1,3,8.88,30,9,5,1,3,1,11.4,6.9,5.7,3,3,5,4,12,3,2,4,5
3,21,6,4,1,8.51,32,7,3,1,2,4,7,6,3.9,4,5,4,5,19,5,3,5,4
3,23,3,3,2,8.71,22,4,4,1,4,1,9.3,6.9,4.7,4,3,4,5,9,3,3,2,3
1,21,3,2,1,8.13,27,5,2,1,5,2,4.3,6.4,5.2,3,5,3,4,17,4,4,2,5
3,22,4,1,1,7.26,32,9,4,0,0,0,0,5,5,2,2,1,3,0,1,2,4,1
3,22,2,3,3,7.86,14,7,5,1,2,1,8.7,7,4.1,4,4,3,4,7,4,4,2,3
2,22,4,2,1,7.71,15,9,3,1,2,4,6,5.7,3.6,4,4,4,4,12,2,4,4,5
3,23,1,3,1,7.87,19,5,3,0,0,0,0,5.8,5.8,2,3,1,3,0,1,2,2,2
3,18,2,2,2,8.23,34,9,2,1,1,3,6.5,4.1,2.7,5,4,5,4,11,3,4,3,4
1,20,2,3,1,8.7,24,8,4,1,1,1,5.9,4.8,2.1,3,4,5,5,16,3,5,2,4
1,19,5,4,3,6.81,24,9,4,0,0,0,0,4.1,4.1,1,3,2,3,0,2,4,4,2
3,20,2,3,1,8.23,28,9,3,1,4,1,11.4,6.8,5.3,5,3,3,5,15,5,5,3,5
3,19,4,3,3,8.29,25,5,3,1,5,2,4.1,4.4,2.3,4,5,5,5,11,3,4,2,5
3,22,6,1,1,6.97,18,4,4,1,2,1,9.7,6.6,4.8,5,5,5,4,18,3,3,3,4
1,23,1,3,1,7.14,18,5,2,1,4,2,7,5.8,3.4,4,4,4,3,16,3,4,5,3
1,23,6,2,1,8.87,24,8,2,1,4,4,8.9,6.6,3.8,3,5,5,4,18,4,2,5,4
2,18,2,4,3,7.96,26,9,2,1,4,1,3.9,5.3,2.5,4,4,5,4,14,3,3,3,3
2,21,3,4,1,7.22,32,6,3,1,5,2,10.8,4.3,2.7,3,3,3,5,10,5,5,5,5
1,19,3,2,1,7.08,35,7,3,0,0,0,0,4.5,4.5,3,1,2,3,0,2,2,3,2
1,18,5,3,1,7.57,19,8,3,1,4,1,8.1,5.5,4.1,4,3,5,4,20,2,2,3,5
1,18,6,3,1,8.33,26,9,2,1,1,3,5.3,4.3,3.1,4,5,5,3,10,3,4,4,5
2,21,1,4,3,8.92,30,9,2,1,4,2,3.2,6.6,4.9,5,3,5,4,18,2,5,4,3
2,22,3,3,3,7.17,18,4,2,1,5,3,11.3,5.8,3.8,3,5,3,4,20,4,3,5,5
2,18,3,3,3,7.1,14,6,4,0,0,0,0,4.6,4.6,3,1,3,3,0,2,2,2,2
3,20,3,4,3,8.75,32,7,4,1,1,2,3.9,6.5,3.7,3,5,3,5,20,3,5,5,4
3,18,5,3,3,8.67,32,8,5,1,3,1,4.1,6.1,3.5,3,4,3,3,16,5,3,2,4
